depart	pub	salary	gender
3	1	49800.40875	0
3	1	64257.71253	0
3	1	64998.40314	1
3	4	41489.31853	1
2	5	54378.47033	1
1	6	39167.23634	0
3	6	41709.83523	1
3	6	54231.03613	1
1	7	39977.81145	0
1	7	53884.15251	0
2	7	65551.71737	1
3	7	71462.61106	1
1	8	51299.86105	0
1	8	54934.64068	1
2	8	64195.56099	1
1	9	49438.18081	0
2	9	66957.65459	0
3	10	60263.3906	0
3	10	72762.75054	0
3	10	73446.39945	0
3	10	79745.06965	0
3	11	63038.44818	1
2	11	71985.95488	1
3	12	50817.22092	1
2	12	57797.80259	1
2	12	58553.81153	1
3	12	63113.91949	0
1	12	63399.64283	1
1	12	72206.41527	0
1	13	43496.15991	1
1	13	50433.61461	1
1	13	51945.08737	1
1	13	54239.94483	1
2	13	68711.77449	1
3	14	61987.05654	1
3	15	55886.17485	0
2	15	59774.37204	1
2	15	70071.2058	1
2	15	73006.45806	0
3	16	54783.48897	0
2	16	55491.02657	1
1	16	56464.58179	1
1	16	57901.7958	0
3	17	52947.20046	0
1	17	56145.09669	0
3	17	59214.20442	1
3	17	66153.07381	1
2	17	69504.2113	0
2	17	70031.33272	0
1	18	74912.92815	1
2	18	84725.13254	1
2	19	69946.348	0
2	19	70340.30071	1
3	19	75709.79195	1
3	19	78689.69007	1
3	19	82647.4104	1
2	20	67385.91188	0
1	20	69444.66434	1
1	21	68916.25431	0
1	21	80601.42714	0
1	21	80711.85792	1
1	22	76690.16412	0
1	23	77154.20696	1
1	24	53857.94051	1
1	24	61775.48681	0
1	24	76575.56293	1
2	24	86545.24199	0
1	25	92044.09152	0
1	26	73131.41034	1
1	26	79231.11766	0
1	28	72228.80942	0
1	29	84930.94354	0
1	32	87771.1073	0
1	35	99854.09495	1
1	39	91652.41262	0
